2016-07-04 21:25:34 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.400086, latitude=23.125281, type=1, distance=0, ip=183.41.40.220
2016-07-04 21:25:34 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.400089, latitude=23.125281, type=1, distance=0, ip=183.41.40.220
2016-07-04 21:25:34 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.400091, latitude=23.125280, type=1, distance=0, ip=183.41.40.220
2016-07-04 21:25:34 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.400086, latitude=23.125281, type=1, distance=0, ip=183.41.40.220
2016-07-04 21:49:10 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=0.000000, latitude=0.000000, type=3, distance=10, ip=183.41.40.220
2016-07-04 21:49:10 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=0.000000, latitude=0.000000, type=3, distance=50, ip=183.41.40.220
2016-07-04 21:49:10 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.400291, latitude=23.124690, type=1, distance=0, ip=183.41.40.220
2016-07-04 21:49:10 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.400291, latitude=23.124690, type=1, distance=0, ip=183.41.40.220
2016-07-04 21:49:10 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.400291, latitude=23.124690, type=1, distance=0, ip=183.41.40.220
2016-07-04 21:49:10 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.400301, latitude=23.124639, type=1, distance=0, ip=183.41.40.220
2016-07-04 21:49:10 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.400306, latitude=23.124613, type=1, distance=0, ip=183.41.40.220
2016-07-04 21:51:49 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=0.000000, latitude=0.000000, type=2, distance=50, ip=183.41.40.220
2016-07-04 21:51:49 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.399155, latitude=23.126340, type=1, distance=0, ip=183.41.40.220
2016-07-04 21:51:49 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.399155, latitude=23.126340, type=1, distance=0, ip=183.41.40.220
2016-07-04 21:51:49 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=0.000000, latitude=0.000000, type=2, distance=10, ip=183.41.40.220
2016-07-04 21:51:49 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.399155, latitude=23.126340, type=1, distance=0, ip=183.41.40.220
2016-07-04 21:51:50 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.399155, latitude=23.126340, type=1, distance=0, ip=183.41.40.220
2016-07-04 21:51:50 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.399155, latitude=23.126340, type=1, distance=0, ip=183.41.40.220
2016-07-04 21:51:50 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=113.399155, latitude=23.126340, type=1, distance=0, ip=183.41.40.220
2016-07-04 21:52:41 840A3B5C-B8D3-4A1A-88EB-92689B5427F3 longitude=0.000000, latitude=0.000000, type=3, distance=10, ip=183.41.40.220
